Object Name,Satellite of,Equatorial Radius [m],<--References,Mean Radius [m],<--References,Mass [kg],<--References,Bulk Density [kg m-3],<--References,Semimajor Axis [m],<--References,Sidereal Rotation Period [s],<--References,Sidereal Orbit Period (Negative Indicates Retrograde) [s],<--References,Inclination (Relative to Primary's Equator)[deg],<--References,Eccentricity,<--References,Axial Tilt [deg],<-- References,Magnitude [mag],Magnitude Band [UBVRI],<--References,Geometric Albedo,<--References,Mean Gravity [m s-2],<--References,Equatorial Gravity [m-2],<--References,Escape Velocity [m s-1],<--References,Perihelion [m],<-- References,Aphelion [m],<-- References,Luminosity [J s-1],<-- References,Orbital Motion [rad s-1],<--References,Beta Parameter [kg m-1 s-2],<-- References,Core Radius [m],<--References,Mantle Thickness [m],<-- References
Adrastea,Jupiter,,,8.200E+03,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Thomas, P. C., Burns, J. A., Rossier, L., Simonelli, D., Veverka, J.,   Chapman, C. R., Klaasen, K., Johnson, T. V., and Belton, M. J. S. 1998.   ``The Small Inner Satellites of Jupiter'',Icarus135,   360-371.",7.493E+15,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,3.000E+03,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,1.290E+08,http://nssdc.gsfc.nasa.gov/planetary/factsheet/joviansatfact.html (Accessed 2-16-15),9.412E+06,http://nssdc.gsfc.nasa.gov/planetary/factsheet/joviansatfact.html (Accessed 2-16-15),2.577E+04,http://nssdc.gsfc.nasa.gov/planetary/factsheet/joviansatfact.html (Accessed 2-16-15),0.03,http://nssdc.gsfc.nasa.gov/planetary/factsheet/joviansatfact.html (Accessed 2-16-15),0.00,http://nssdc.gsfc.nasa.gov/planetary/factsheet/joviansatfact.html (Accessed 2-16-15),,,18.70,V0,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Veverka, J., Thomas, P., and Synnott, S. 1982. ``The   Inner Satellites of Jupiter'',Vistas in Astronomy25,   245-262.",1.000E-01,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Thomas, P. C., Burns, J. A., Rossier, L., Simonelli, D., Veverka, J.,   Chapman, C. R., Klaasen, K., Johnson, T. V., and Belton, M. J. S. 1998.   ``The Small Inner Satellites of Jupiter'',Icarus135,   360-371.",7.437E-03,JPR Derived; Big-G used: http://physics.nist.gov/cgi-bin/cuu/Value?bg|search_for=gravitational,,,,,,,,,,,2.438E-04,JPR Derived,1.830E+05,JPR Derived,,,,
Metis,Jupiter,,,2.150E+04,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Thomas, P. C., Burns, J. A., Rossier, L., Simonelli, D., Veverka, J.,   Chapman, C. R., Klaasen, K., Johnson, T. V., and Belton, M. J. S. 1998.   ``The Small Inner Satellites of Jupiter'',Icarus135,   360-371.",1.199E+17,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,3.000E+03,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,1.280E+08,http://nssdc.gsfc.nasa.gov/planetary/factsheet/joviansatfact.html (Accessed 2-16-15),9.302E+06,http://nssdc.gsfc.nasa.gov/planetary/factsheet/joviansatfact.html (Accessed 2-16-15),2.547E+04,http://nssdc.gsfc.nasa.gov/planetary/factsheet/joviansatfact.html (Accessed 2-16-15),0.06,http://nssdc.gsfc.nasa.gov/planetary/factsheet/joviansatfact.html (Accessed 2-16-15),0.00,http://nssdc.gsfc.nasa.gov/planetary/factsheet/joviansatfact.html (Accessed 2-16-15),,,17.50,V0,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Veverka, J., Thomas, P., and Synnott, S. 1982. ``The   Inner Satellites of Jupiter'',Vistas in Astronomy25,   245-262.",6.100E-02,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Simonelli, D. P., Rossier, L., Thomas, P. C.,  Veverka, J.,   Burns, J. A., and Belton, M. J. S. 2000. ``Leading/Trailing Albedo   Asymmetries of Thebe, Amalthea, and Metis'',Icarus147,   353-365.",1.731E-02,JPR Derived; Big-G used: http://physics.nist.gov/cgi-bin/cuu/Value?bg|search_for=gravitational,,,,,,,,,,,2.467E-04,JPR Derived,1.116E+06,JPR Derived,,,,
Callirrhoe,Jupiter,,,4.300E+03,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",8.692E+14,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,2.600E+03,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,,,,,-6.556E+07,http://nssdc.gsfc.nasa.gov/planetary/factsheet/joviansatfact.html (Accessed 2-16-15),,,,,,,20.80,R,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Rettig, T. W., Walsh, K., and Consolmagno, G. 2001.   ``Implied Evolutionary Differences of the Jovian Irregular Satellites    from a BVR Color Survey'',Icarus154, 313-320.",4.000E-02,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",3.137E-03,JPR Derived; Big-G used: http://physics.nist.gov/cgi-bin/cuu/Value?bg|search_for=gravitational,,,,,,,,,,,-9.584E-08,JPR Derived,3.508E+04,JPR Derived,,,,
Themisto,Jupiter,,,4.000E+03,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",6.894E+14,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,2.600E+03,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,7.507E+09,http://nssdc.gsfc.nasa.gov/planetary/factsheet/joviansatfact.html (Accessed 2-16-15),,,1.123E+07,http://nssdc.gsfc.nasa.gov/planetary/factsheet/joviansatfact.html (Accessed 2-16-15),45.67,http://nssdc.gsfc.nasa.gov/planetary/factsheet/joviansatfact.html (Accessed 2-16-15),0.24,http://nssdc.gsfc.nasa.gov/planetary/factsheet/joviansatfact.html (Accessed 2-16-15),,,21.00,R,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Rettig, T. W., Walsh, K., and Consolmagno, G. 2001.   ``Implied Evolutionary Differences of the Jovian Irregular Satellites    from a BVR Color Survey'',Icarus154, 313-320.",4.000E-02,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",2.876E-03,JPR Derived; Big-G used: http://physics.nist.gov/cgi-bin/cuu/Value?bg|search_for=gravitational,,,,,,,,,,,5.593E-07,JPR Derived,2.991E+04,JPR Derived,,,,
Megaclite,Jupiter,,,2.700E+03,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",2.098E+14,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,2.600E+03,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,,,,,-6.504E+07,http://nssdc.gsfc.nasa.gov/planetary/factsheet/joviansatfact.html (Accessed 2-16-15),,,,,,,21.70,R,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Rettig, T. W., Walsh, K., and Consolmagno, G. 2001.   ``Implied Evolutionary Differences of the Jovian Irregular Satellites    from a BVR Color Survey'',Icarus154, 313-320.",4.000E-02,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",1.921E-03,JPR Derived; Big-G used: http://physics.nist.gov/cgi-bin/cuu/Value?bg|search_for=gravitational,,,,,,,,,,,-9.660E-08,JPR Derived,1.348E+04,JPR Derived,,,,
Taygete,Jupiter,,,2.500E+03,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",1.649E+14,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,2.600E+03,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,,,,,-6.326E+07,http://nssdc.gsfc.nasa.gov/planetary/factsheet/joviansatfact.html (Accessed 2-16-15),,,,,,,21.90,R,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Rettig, T. W., Walsh, K., and Consolmagno, G. 2001.   ``Implied Evolutionary Differences of the Jovian Irregular Satellites    from a BVR Color Survey'',Icarus154, 313-320.",4.000E-02,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",1.760E-03,JPR Derived; Big-G used: http://physics.nist.gov/cgi-bin/cuu/Value?bg|search_for=gravitational,,,,,,,,,,,-9.932E-08,JPR Derived,1.144E+04,JPR Derived,,,,
Chaldene,Jupiter,,,1.900E+03,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",7.493E+13,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,2.600E+03,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,,,,,-6.254E+07,http://nssdc.gsfc.nasa.gov/planetary/factsheet/joviansatfact.html (Accessed 2-16-15),,,,,,,22.50,R,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",4.000E-02,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",1.385E-03,JPR Derived; Big-G used: http://physics.nist.gov/cgi-bin/cuu/Value?bg|search_for=gravitational,,,,,,,,,,,-1.005E-07,JPR Derived,6.843E+03,JPR Derived,,,,
Harpalyke,Jupiter,,,2.200E+03,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",1.199E+14,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,2.600E+03,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,,,,,-5.385E+07,http://nssdc.gsfc.nasa.gov/planetary/factsheet/joviansatfact.html (Accessed 2-16-15),,,,,,,22.20,R,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Rettig, T. W., Walsh, K., and Consolmagno, G. 2001.   ``Implied Evolutionary Differences of the Jovian Irregular Satellites    from a BVR Color Survey'',Icarus154, 313-320.",4.000E-02,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",1.653E-03,JPR Derived; Big-G used: http://physics.nist.gov/cgi-bin/cuu/Value?bg|search_for=gravitational,,,,,,,,,,,-1.167E-07,JPR Derived,9.456E+03,JPR Derived,,,,
Kalyke,Jupiter,,,2.600E+03,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",1.948E+14,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,2.600E+03,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,,,,,-6.420E+07,http://nssdc.gsfc.nasa.gov/planetary/factsheet/joviansatfact.html (Accessed 2-16-15),,,,,,,21.80,R,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Rettig, T. W., Walsh, K., and Consolmagno, G. 2001.   ``Implied Evolutionary Differences of the Jovian Irregular Satellites    from a BVR Color Survey'',Icarus154, 313-320.",4.000E-02,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",1.923E-03,JPR Derived; Big-G used: http://physics.nist.gov/cgi-bin/cuu/Value?bg|search_for=gravitational,,,,,,,,,,,-9.788E-08,JPR Derived,1.300E+04,JPR Derived,,,,
Iocaste,Jupiter,,,2.600E+03,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",1.948E+14,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,2.600E+03,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,,,,,-5.456E+07,http://nssdc.gsfc.nasa.gov/planetary/factsheet/joviansatfact.html (Accessed 2-16-15),,,,,,,21.80,R,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Rettig, T. W., Walsh, K., and Consolmagno, G. 2001.   ``Implied Evolutionary Differences of the Jovian Irregular Satellites    from a BVR Color Survey'',Icarus154, 313-320.",4.000E-02,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",1.923E-03,JPR Derived; Big-G used: http://physics.nist.gov/cgi-bin/cuu/Value?bg|search_for=gravitational,,,,,,,,,,,-1.152E-07,JPR Derived,1.300E+04,JPR Derived,,,,
Erinome,Jupiter,,,1.600E+03,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",4.496E+13,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,2.600E+03,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,,,,,,,,,,,,,22.80,R,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",4.000E-02,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",1.172E-03,JPR Derived; Big-G used: http://physics.nist.gov/cgi-bin/cuu/Value?bg|search_for=gravitational,,,,,,,,,,,,,4.876E+03,JPR Derived,,,,
Isonoe,Jupiter,,,1.900E+03,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",7.493E+13,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,2.600E+03,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,,,,,,,,,,,,,22.50,R,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",4.000E-02,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",1.385E-03,JPR Derived; Big-G used: http://physics.nist.gov/cgi-bin/cuu/Value?bg|search_for=gravitational,,,,,,,,,,,,,6.843E+03,JPR Derived,,,,
Praxidike,Jupiter,,,3.400E+03,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",4.346E+14,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,2.600E+03,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,,,,,,,,,,,,,21.20,R,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Rettig, T. W., Walsh, K., and Consolmagno, G. 2001.   ``Implied Evolutionary Differences of the Jovian Irregular Satellites    from a BVR Color Survey'',Icarus154, 313-320.",4.000E-02,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",2.509E-03,JPR Derived; Big-G used: http://physics.nist.gov/cgi-bin/cuu/Value?bg|search_for=gravitational,,,,,,,,,,,,,2.218E+04,JPR Derived,,,,
Autonoe,Jupiter,,,2.000E+03,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",8.992E+13,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,2.600E+03,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,,,,,,,,,,,,,22.00,R,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",4.000E-02,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",1.500E-03,JPR Derived; Big-G used: http://physics.nist.gov/cgi-bin/cuu/Value?bg|search_for=gravitational,,,,,,,,,,,,,7.801E+03,JPR Derived,,,,
Thyone,Jupiter,,,2.000E+03,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",8.992E+13,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,2.600E+03,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,,,,,,,,,,,,,22.30,R,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",4.000E-02,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",1.500E-03,JPR Derived; Big-G used: http://physics.nist.gov/cgi-bin/cuu/Value?bg|search_for=gravitational,,,,,,,,,,,,,7.801E+03,JPR Derived,,,,
Hermippe,Jupiter,,,2.000E+03,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",8.992E+13,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,2.600E+03,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,,,,,,,,,,,,,22.10,R,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",4.000E-02,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",1.500E-03,JPR Derived; Big-G used: http://physics.nist.gov/cgi-bin/cuu/Value?bg|search_for=gravitational,,,,,,,,,,,,,7.801E+03,JPR Derived,,,,
Aitne,Jupiter,,,1.500E+03,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",4.496E+13,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,2.600E+03,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,,,,,,,,,,,,,22.70,R,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",4.000E-02,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",1.334E-03,JPR Derived; Big-G used: http://physics.nist.gov/cgi-bin/cuu/Value?bg|search_for=gravitational,,,,,,,,,,,,,5.201E+03,JPR Derived,,,,
Eurydome,Jupiter,,,1.500E+03,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",4.496E+13,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,2.600E+03,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,,,,,,,,,,,,,22.70,R,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",4.000E-02,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",1.334E-03,JPR Derived; Big-G used: http://physics.nist.gov/cgi-bin/cuu/Value?bg|search_for=gravitational,,,,,,,,,,,,,5.201E+03,JPR Derived,,,,
Euanthe,Jupiter,,,1.500E+03,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",4.496E+13,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,2.600E+03,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,,,,,,,,,,,,,22.80,R,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",4.000E-02,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",1.334E-03,JPR Derived; Big-G used: http://physics.nist.gov/cgi-bin/cuu/Value?bg|search_for=gravitational,,,,,,,,,,,,,5.201E+03,JPR Derived,,,,
Euporie,Jupiter,,,1.000E+03,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",1.499E+13,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,2.600E+03,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,,,,,,,,,,,,,23.10,R,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",4.000E-02,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",1.000E-03,JPR Derived; Big-G used: http://physics.nist.gov/cgi-bin/cuu/Value?bg|search_for=gravitational,,,,,,,,,,,,,2.600E+03,JPR Derived,,,,
Orthosie,Jupiter,,,1.000E+03,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",1.499E+13,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,2.600E+03,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,,,,,,,,,,,,,23.10,R,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",4.000E-02,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",1.000E-03,JPR Derived; Big-G used: http://physics.nist.gov/cgi-bin/cuu/Value?bg|search_for=gravitational,,,,,,,,,,,,,2.600E+03,JPR Derived,,,,
Sponde,Jupiter,,,1.000E+03,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",1.499E+13,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,2.600E+03,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,,,,,,,,,,,,,23.00,R,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",4.000E-02,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",1.000E-03,JPR Derived; Big-G used: http://physics.nist.gov/cgi-bin/cuu/Value?bg|search_for=gravitational,,,,,,,,,,,,,2.600E+03,JPR Derived,,,,
Kale,Jupiter,,,1.000E+03,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",1.499E+13,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,2.600E+03,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,,,,,,,,,,,,,23.00,R,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",4.000E-02,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",1.000E-03,JPR Derived; Big-G used: http://physics.nist.gov/cgi-bin/cuu/Value?bg|search_for=gravitational,,,,,,,,,,,,,2.600E+03,JPR Derived,,,,
Pasithee,Jupiter,,,1.000E+03,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",1.499E+13,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,2.600E+03,http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Derived,,,,,,,,,,,,,23.20,R,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",4.000E-02,"http://ssd.jpl.nasa.gov/?sat_phys_par (Accessed 2-15-15); Sheppard, S. S. 2010.    http://www.dtm.ciw.edu/users/sheppard/satellites/jupsatdata.html",1.000E-03,JPR Derived; Big-G used: http://physics.nist.gov/cgi-bin/cuu/Value?bg|search_for=gravitational,,,,,,,,,,,,,2.600E+03,JPR Derived,,,,
